id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:52:38;PENDING;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:42:21;COMPLETED;Frozen Analyst card;redundant;2
3;2019-10-23T03:15:16;COMPLETED;Chips;navigating;3
4;2019-10-22T17:03:04;COMPLETED;Optimized;microchip;4
5;2019-10-22T17:54:35;COMPLETED;e-markets system;Organic;5
6;2019-10-23T01:12:40;COMPLETED;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:13:24;CANCELLED;online e-business;systems integrate;7
8;2019-10-22T18:58:27;COMPLETED;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:41:45;COMPLETED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:41:09;COMPLETED;yellow;Books Generic;10
